SWIS,Longitude,Latitude,LandfillName,City,LandfillOwnershipType,Owner,Class,TypeOfWaste,TypeOfWaste2,CurrentLandfillStatus,YearOpened,YearClosed,YearRange,Converted,ConversionType,SiteConversion,SiteRegulartoryStatus,DocumentationLink
"43-AN-0006","[121.82748020000001, 121.8249179, 121.8229993, 121.82200790000002, 121.8219435, 121.82159579999998, 121.8210164, 121.82064299999999, 121.82052709999999, 121.82044979999999, 121.82020520000002, 121.8196258, 121.81954850000001, 121.8198318, 121.8217761, 121.8218147, 121.82269029999999, 121.8229736, 121.8232311, 121.82350149999999, 121.8252655, 121.8264244, 121.82517539999999, 121.8248277, 121.82478909999999]","[37.297024, 37.2981097, 37.2971879, 37.2963992, 37.296132799999995, 37.2957743, 37.294842200000005, 37.294371000000005, 37.293848600000004, 37.293428600000006, 37.2928652, 37.2916564, 37.291205700000006, 37.2910725, 37.2910315, 37.290744700000005, 37.2907857, 37.2908164, 37.2909086, 37.2909598, 37.2910315, 37.2932339, 37.2941251, 37.2943095, 37.2945144]","Singleton Rd DS/San Jose Municipal DS","San Jose","Public","City of San Jose","Class III","Non-Hazardous Waste","nan","Closed","nan","1978.0","No opening year","Not Converted","nan","nan","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/226450"
"43-AN-0009","[121.85933870000001, 121.85330990000001, 121.8562352, 121.85685409999999, 121.8573135, 121.8578854, 121.8585136, 121.8588699, 121.85903870000001, 121.85931059999999, 121.8594419, 121.85984509999999, 121.8598169, 121.85953559999999, 121.85932, 121.8597419, 121.8602389, 121.8607733]","[37.328616499999995, 37.3223535, 37.32350170000001, 37.323427200000005, 37.3232855, 37.3229947, 37.3227412, 37.3228232, 37.3226368, 37.322659200000004, 37.322964899999995, 37.3232184, 37.3236136, 37.3245456, 37.325321, 37.3262157, 37.3271552, 37.327729299999994]","Roberts Avenue Landfill","San Jose","Public/Private","Private Owner/City of San Jose","nan","nan","nan","Closed","1957.0","1979.0","nan","Converted ","Public","Kelley Park","Unpermitted","https://records.sanjoseca.gov/Contracts/OC-000373-004.pdf"
"43-AN-0010","[121.86403429999999, 121.8631402, 121.8629422, 121.8628642, 121.8628522, 121.86251609999998, 121.86252809999999, 121.8639203, 121.8641604, 121.8645804, 121.8645144, 121.86431040000001]","[37.3352169, 37.3358037, 37.3356653, 37.3355842, 37.3354506, 37.3351071, 37.335026, 37.3341099, 37.333938200000006, 37.3339716, 37.3344391, 37.334921]","Martin Park Landfill","San Jose","Private","G&M Construction","nan","nan","nan","Closed","nan","1974.0","nan","Converted ","Public","Martin Park","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/217549"
"43-AN-0011","[121.816949, 121.8155426, 121.8153375, 121.8164216, 121.8167293]","[37.2880183, 37.288064899999995, 37.2857804, 37.285815299999996, 37.286153399999996]","Hellyer Park Landfill","San Jose","Public/Private","Private Owner/City of San Jose","Class III","Non-Hazardous Waste","nan","Closed","1956.0","1970.0","nan","Not Converted","nan","nan","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/338190"
"43-AN-0012","[121.86201170000001, 121.86398290000001, 121.8644472, 121.86590530000001, 121.8654817, 121.86234569999999, 121.8606758, 121.86310320000001, 121.86272849999999, 121.86253300000001, 121.86237009999999, 121.86234569999999, 121.86237009999999, 121.8624108, 121.86259820000001, 121.86281000000001, 121.8628507, 121.86229679999998, 121.8618162, 121.8613682, 121.86131929999999, 121.8613956, 121.8619325, 121.86237040000002, 121.8631003, 121.86328799999998, 121.86404909999999, 121.86530549999999, 121.86611869999999, 121.8659154, 121.86584760000001, 121.86456000000001, 121.8642107, 121.8678602, 121.86809640000001, 121.86803130000001, 121.86661399999998, 121.8655876, 121.8656935, 121.8657913, 121.86590530000001, 121.866223, 121.86670359999998, 121.86720859999998, 121.8672493, 121.86734709999999, 121.8676973, 121.8678439, 121.86808020000001, 121.86809640000001]","[37.3318024, 37.3298528, 37.3296844, 37.328790600000005, 37.331964299999996, 37.33393970000001, 37.3327156, 37.329580799999995, 37.3298787, 37.3298787, 37.329742700000004, 37.329613200000004, 37.3293217, 37.3291533, 37.3289979, 37.3288035, 37.3286675, 37.3286222, 37.3286287, 37.3284084, 37.3282206, 37.3279504, 37.3280499, 37.3280665, 37.3280665, 37.3280623, 37.327842600000004, 37.3273576, 37.3272001, 37.3284768, 37.3287463, 37.329509, 37.3296334, 37.329593700000004, 37.3300148, 37.3300925, 37.3310122, 37.331336, 37.330468100000004, 37.3297751, 37.3288942, 37.328518599999995, 37.3283307, 37.328291899999996, 37.3283566, 37.3284797, 37.3286028, 37.328738799999996, 37.3290626, 37.329367100000006]","Story Road Landfill","San Jose","nan","nan","nan","nan","nan","Closed","nan","nan","nan","Not Converted","nan","nan","Unpermitted","https://coyotemeadowssj.org/wp-content/uploads/2017/07/Coyote-Meadows-Use-Zone-Map-7-12-2017.pdf"
"43-AN-0021","[121.96760859999999, 121.9660712, 121.9650693, 121.9612979, 121.9611838, 121.9659979, 121.96618319999999, 121.96807959999998]","[37.4237385, 37.423283700000006, 37.422695000000004, 37.419900299999995, 37.419641600000006, 37.4192469, 37.42184829999999, 37.422293100000005]","Syntax Court D.S.","Alviso","nan","Unregulated/Unpermitted Dumping","nan","nan","nan","Closed","1956.0","1987.0","nan","Converted ","Commercial","Business Park","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/293755"
"43-AN-0027","[121.87730090000001, 121.8765398, 121.8763365, 121.87653459999999, 121.87716019999999, 121.8774557, 121.8771869, 121.87691809999998, 121.87661670000001, 121.8765597, 121.8764456, 121.87624199999999, 121.8760791, 121.87589990000001, 121.87563109999999, 121.87551699999999, 121.87572069999999, 121.8759813, 121.875794, 121.8755008, 121.87523200000001, 121.8748898, 121.87464550000001, 121.87440919999999, 121.8743685, 121.8744011, 121.87427079999999, 121.8743115, 121.87451509999998, 121.87448570000001, 121.8744963, 121.87450700000001, 121.87468, 121.87736609999999]","[37.357020500000004, 37.3575716, 37.3576876, 37.3577912, 37.3584376, 37.3590325, 37.3592009, 37.3592915, 37.359330299999996, 37.3593174, 37.3593109, 37.359272100000005, 37.3591296, 37.3590778, 37.3592009, 37.3593886, 37.3593821, 37.3594857, 37.3596087, 37.3596476, 37.3595828, 37.3593951, 37.3593498, 37.359233200000006, 37.3588901, 37.358501600000004, 37.3576275, 37.356047700000005, 37.355452, 37.3550842, 37.3548279, 37.353970700000005, 37.3540335, 37.3568765]","Watson Park Disposal Site","San Jose","Public","City of San Jose","Class I","Hazardous Waste","nan","Closed","1917.0","1934.0","nan","Converted ","Public","Watson Park","Pre-Regulation","https://dtsc.ca.gov/wp-content/uploads/sites/31/2017/11/Watson_Park_FS_RI.pdf"
"43-AO-0001","[121.9702701, 121.9711186, 121.96655790000001, 121.9629872, 121.96867920000001, 121.9675125, 121.9736287, 121.9745126, 121.97772979999999, 121.97772979999999]","[37.4114882, 37.4133696, 37.415279, 37.411432, 37.409606700000005, 37.4076409, 37.4053662, 37.406995, 37.408483399999994, 37.4093259]","All Purpose Landfill","Santa Clara","Public","City of Santa Clara","Class III","Non-Hazardous Waste","nan","Closed","1934.0","1993.0","nan","Converted ","Commercial","Golf Course","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/216532"
"43-CR-0001","[121.9338365, 121.9337476, 121.9330892, 121.93304769999999, 121.9350584, 121.9350406]","[37.2918605, 37.291752, 37.2910677, 37.2903269, 37.2903222, 37.290421200000004]","West Valley Closed Landfill/Campisi Site","Campbell","nan","nan","Class III","Non-Hazardous Waste","nan","Closed","1953.0","1959.0","nan","Converted ","Commercial","Business Park/Apartments","TBD","https://www.campbellca.gov/DocumentCenter/View/6607/Campisi-Way-Project-17EE-RFP"
"43-CR-0003","[121.67079820000001, 121.6732367, 121.6692165, 121.6660696]","[37.1693455, 37.1712361, 37.1719844, 37.168991]","Madrone Closed Landfill Site","Morgan Hill","Private","South Valley Refuse Disposal Company","nan","nan","nan","Closed","1954.0","1973.0","nan","Not Converted","nan","nan","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/279618"
"43-CR-0004","[121.53242959999999, 121.5316176, 121.53110090000001, 121.52785320000001, 121.53004650000001]","[36.9886348, 36.988980100000006, 36.988533700000005, 36.986781799999996, 36.9856026]","City Of Gilroy (Closed Landfill)","Gilroy","Public","City of Gilroy","nan","nan","nan","Closed","nan","nan","nan","nan","nan","nan","Pre-Regulation","nan"
"43-CR-0005","[121.61233759999999, 121.61041840000001, 121.6094061, 121.6116416]","[37.0960908, 37.0968141, 37.095132, 37.0946021]","San Martin Closed Landfill Site","San Martin","Private","South Valley Disposal and Recycle","nan","nan","nan","Closed","nan","nan","nan","Not Converted","nan","nan","Pre-Regulation","nan"
"43-CR-0006","[121.9740649, 121.97323759999999, 121.9728408, 121.97112690000002, 121.9686195, 121.96875459999998, 121.9697846, 121.97323759999999]","[37.419050299999995, 37.4194124, 37.4194996, 37.419070399999995, 37.4191308, 37.4192783, 37.4190436, 37.4179305]","Santos Landfill","Alviso","nan","nan","Class I","Hazardous Waste","nan","Closed","1953.0","1982.0","Years estimated based off the EPA website regarding the intake of asbestos that the landfill accepted.","Converted ","Commercial","Mobile/Manufactured Homes","Pre-Regulation","nan"
"43-CR-0008","[121.97730990000002, 121.97612120000001, 121.9761428, 121.97730449999999]","[37.4240364, 37.4240106, 37.423401299999995, 37.42347]","Sainte Claire Landfill","Alviso","Private","Sante Claire Corporation","Class I","Hazardous Waste","nan","Closed","1950.0","1970.0","Landfill operated between sometime in the 1950's and 1970's.","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/443430"
"43-CR-0010","[121.97594540000001, 121.9738031, 121.9713243, 121.9710145, 121.97020890000002, 121.9698548, 121.97000530000001, 121.971103, 121.97174040000002, 121.9728912, 121.97405090000001, 121.97525490000001, 121.9758834]","[37.4221742, 37.4220546, 37.4216328, 37.4208876, 37.420458700000005, 37.4195095, 37.4192705, 37.419101700000006, 37.4192564, 37.4196009, 37.419214200000006, 37.420065, 37.4211829]","Route 237 Lincoln Technology Park","San Jose","nan","nan","Class I","Hazardous Waste","nan","Closed","nan","nan","nan","Converted ","Commercial","Business Park","Pre-Regulation","nan"
"48-AA-0001","[121.97819960000001, 121.9773033, 121.9773253, 121.9774649, 121.9777147, 121.9778102, 121.9780821, 121.9783172, 121.978567, 121.9786993, 121.9788462, 121.97918419999999, 121.97894170000001]","[38.2283373, 38.2282738, 38.224706899999994, 38.2245106, 38.2244933, 38.224476, 38.224470200000006, 38.224464399999995, 38.2245048, 38.2245452, 38.224608700000005, 38.228094899999995, 38.2283258]","Solano Garbage Company","Suisun City","Private","Solano Garbage Co","nan","nan","nan","Closed","nan","1987.0","No opening year, closure year is an estimate","Not Converted","nan","nan","Permitted","nan"
"48-AA-0004","[121.6883919, 121.686953, 121.6872265, 121.68758329999999, 121.6879162, 121.6882611, 121.68860600000001, 121.68895090000001, 121.68923629999999, 121.6894385, 121.6896525, 121.68999740000001, 121.6902472, 121.69048500000001, 121.69053259999998]","[38.1796792, 38.1786508, 38.1782488, 38.1774729, 38.177220500000004, 38.176912, 38.1767811, 38.176538, 38.1764632, 38.176472600000004, 38.1768091, 38.176912, 38.177164399999995, 38.1774075, 38.1777627]","Rio Vista Sanitary Landfill","Rio Vista","Private","Rio Vista Sanitation Service","Class III","Non-Hazardous Waste","nan","Closed","1940.0","1992.0","Opening year is an estimate in the documentation","Not Converted","nan","nan","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/394297"
"48-AA-0008","[122.2867027, 122.2913088, 122.291606, 122.29162720000001, 122.29099040000001, 122.29052340000001, 122.2898017, 122.2891225, 122.28840079999999, 122.28753049999999, 122.28685130000001, 122.28640549999999, 122.2859385, 122.28564140000002, 122.28500459999998, 122.2847074, 122.2843041, 122.2840281, 122.28364609999998, 122.28275459999999, 122.2795918, 122.2780635, 122.2787216, 122.2792098, 122.2795918, 122.2801862, 122.28052579999999, 122.28071680000001, 122.2810989, 122.28135359999999, 122.28160829999999, 122.28213899999999, 122.28224509999998, 122.28262720000001, 122.2830517, 122.28313659999999, 122.2833065, 122.283073, 122.28300929999999, 122.28252109999998, 122.28199040000001, 122.259133, 122.2563753, 122.2563481, 122.2562122, 122.25852169999999, 122.25997530000001, 122.2605866, 122.25997530000001]","[38.094364500000005, 38.0972544, 38.0976386, 38.097922600000004, 38.0981564, 38.0986242, 38.0991086, 38.099309000000005, 38.09917539999999, 38.0990752, 38.099426, 38.0998269, 38.100077399999996, 38.1001609, 38.100495, 38.1005785, 38.1005785, 38.10059520000001, 38.1005451, 38.1013302, 38.1028836, 38.10126339999999, 38.1006954, 38.1006954, 38.100795700000006, 38.1008625, 38.101046200000006, 38.1011464, 38.1014805, 38.10151389999999, 38.1013302, 38.1012133, 38.1011631, 38.101062899999995, 38.1006453, 38.1001609, 38.099576299999995, 38.0990752, 38.0987745, 38.09850720000001, 38.0980896, 38.0736566, 38.072950799999994, 38.0726941, 38.0706836, 38.068662200000006, 38.068437599999996, 38.0689189, 38.0693467]","Mare Island Naval Shipyard Sanitary LF - Superfund Site","Vallejo","Private","US Dept Of Navy-Mare Island Nas","Class I/Class II","Hazardous Waste","nan","Closed","1942.0","1989.0","–Historical Disposal Area (1942 – 1966)–Facility Landfill (1960’s – 1978) –RCRA Landfill (1978 – 1989)","Not Converted","nan","nan","Permitted","https://media.defense.gov/2022/Apr/08/2002973130/-1/-1/0/MI_20200924_RAB_NAVY_SITEWIDE_UPDATES.PDF https://media.defense.gov/2022/Apr/08/2002973224/-1/-1/0/MI_20170928_RAB_MINUTES.PDF"
"48-AA-0009","[121.98059740000002, 121.98054170000002, 121.9806253]","[38.328419399999994, 38.328353899999996, 38.3283867]","California Medical Facility","Vacaville","Private","California Medical Facility","nan","nan","nan","Closed","nan","1982.0","nan","nan","nan","nan","Unpermitted","https://www2.calrecycle.ca.gov/SolidWaste/SiteInspection/Details/62147"
"48-AA-0010","[122.1810256, 122.1794473, 122.17924609999999, 122.1790025, 122.17880120000001, 122.17840929999998, 122.17820800000001, 122.17789029999999, 122.1775195, 122.17747720000001, 122.17769960000001, 122.1780386, 122.17757250000001, 122.1775513, 122.1771607, 122.1767966, 122.1770118, 122.1772435, 122.17732620000001, 122.17735929999999, 122.1777731, 122.17795520000001, 122.18040459999999, 122.1830527, 122.18358229999998, 122.1839298, 122.1841615, 122.1843601, 122.184145, 122.18401259999999, 122.18368159999999]","[38.083078799999996, 38.0824535, 38.082261700000004, 38.082411799999996, 38.0824451, 38.0824868, 38.0824868, 38.082436799999996, 38.082245, 38.08206989999999, 38.0817865, 38.081619700000005, 38.081186200000005, 38.080752600000004, 38.0806828, 38.0807219, 38.080304999999996, 38.0800444, 38.0797318, 38.079458200000005, 38.079367, 38.079367, 38.0808, 38.082024600000004, 38.0817641, 38.081842200000004, 38.0822461, 38.0826499, 38.0830016, 38.0833925, 38.0835879]","East Canyon / Braito LF Solano County LF","Benicia","Private","Huvane, Steve","Class I/Class II","Inert Waste","C&D Waste","Closed","1955.0","1978.0","nan","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/240072"
"48-AA-0077","[121.7546884, 121.7546813, 121.75686470000001, 121.75686110000001, 121.7568469, 121.75549779999999, 121.7553594, 121.7548233, 121.75478419999999, 121.75447179999999, 121.7546422, 121.75322859999999, 121.752831, 121.7528686, 121.75292639999999, 121.75299229999999, 121.7530946, 121.75315590000001, 121.7543625, 121.7543625, 121.7543125, 121.75399660000001, 121.75350359999999, 121.75070649999999, 121.7500158, 121.750009, 121.75067469999999]","[38.51793920000001, 38.517878100000004, 38.5182309, 38.51827539999999, 38.518291999999995, 38.518108700000006, 38.5191809, 38.519139200000005, 38.5193476, 38.519333700000004, 38.517967, 38.5185114, 38.518522, 38.517856200000004, 38.5178109, 38.517864200000005, 38.5178678, 38.5178287, 38.5180047, 38.5180669, 38.5181362, 38.518305100000006, 38.5184794, 38.51860739999999, 38.51860739999999, 38.51783579999999, 38.5178767]","Old Uc Davis Landfill (Laboratory for Energy Related Health Reasearch - Lehr)","UC Davis","Private","University of California, Davis Office of Environmental Health and Safety","Class I / Class II / Class III","Hazardous Waste","nan","Closed","1956.0","1967.0","nan","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/250746"
"48-CR-0001","[121.8149993, 121.81446909999998, 121.8143243, 121.8142348, 121.81321489999999, 121.8131322, 121.81874140000001, 121.81884140000001]","[38.4402859, 38.43967670000001, 38.4395903, 38.4395417, 38.438904799999996, 38.4382517, 38.4382895, 38.440380600000005]","Dixon City","Dixon","Public","City of Dixon","Class III","Non-Hazardous Waste","nan","Closed","1940.0","1962.0","Opening year is unclear but the landfill opened somewhere between 1944 - 1951.","Converted ","Public","Atheltic Fields","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/278267"
"48-CR-0002","[121.97465290000001, 121.9739778, 121.9729101, 121.9728757, 121.97324070000002, 121.9735232, 121.9735783, 121.9737505, 121.97410179999999, 121.9744462, 121.9746942, 121.97516259999999, 121.97534170000002, 121.97503859999999]","[38.3754578, 38.3754416, 38.374933899999995, 38.3748259, 38.37453970000001, 38.3742643, 38.3739619, 38.3736162, 38.3735838, 38.3737189, 38.373751299999995, 38.373729700000005, 38.3738323, 38.374555900000004]","Vacaville Landfill (Old)","Vacaville","Public","City Of Vacaville Public Works/Util","nan","nan","nan","Closed","nan","1966.0","No opening year, closure year comes from inspection report. Location estimated based off satellite imagery.","Not Converted","nan","nan","Unpermitted","nan"
"48-CR-0005","[121.92554969999999, 121.9150081, 121.9151088, 121.9181638, 121.9225618, 121.92380390000001, 121.9247439, 121.9256504, 121.925684]","[38.2793904, 38.279284999999994, 38.2746465, 38.2745411, 38.276016999999996, 38.278099, 38.2788633, 38.2791532, 38.279298100000005]","Travis AFB Landfill","Fairfield","Private","US Dept Of Air Force-Travis Afb","Inert Waste/Class III","Non-Hazardous Waste","nan","Closed","1950.0","1974.0","Operation of landfill 2 began sometime in the 1950's when landfill 1 closed.","Not Converted","nan","nan","Unpermitted","file:///C:/Users/desti/Downloads/travis%20soil%20remediation%20completion.pdf"
"48-CR-0006","[122.0504753, 122.04872040000001, 122.04877320000001, 122.05123619999999]","[38.240087, 38.2400594, 38.2391198, 38.2391025]","Pennsylvania Ave LF/Cordelia Rd","Fairfield","Private","Gregory Gilbert","Class III","Non-Hazardous Waste","nan","Closed","1970.0","1980.0","The landfill operated sometime between the 1970's and closed somewhere between 1979 - 1982.","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/281213"
"48-CR-0015","[121.8833504, 121.88205409999999, 121.882172, 121.8823571, 121.8825087, 121.8841584, 121.88410790000002, 121.88341770000001]","[38.4894521, 38.4893467, 38.487725899999994, 38.4876732, 38.4858021, 38.4858021, 38.4876469, 38.4876864]","Dixon Unified School District Landfill","Dixon","Private","Dixon Unified School District","Class II/Class III","Non-Hazardous Waste","nan","Closed","1963.0","1973.0","nan","Converted ","School Campus","Agriculutral Education","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/328478"
"48-CR-0016","[122.1911077, 122.19109099999999, 122.19199479999999, 122.19239650000002, 122.19271450000001, 122.1928149, 122.1928317, 122.19268100000001, 122.19268100000001, 122.19284840000002, 122.1930492, 122.1937689, 122.19390279999999, 122.19463929999999, 122.1943212, 122.1941706, 122.1937355, 122.1930994, 122.192999, 122.19239650000002, 122.1914257]","[38.069928499999996, 38.0691906, 38.0672273, 38.0668188, 38.0662654, 38.0656856, 38.06513220000001, 38.0644206, 38.0637354, 38.063037, 38.0631292, 38.065316700000004, 38.0662259, 38.0677676, 38.0687426, 38.0687031, 38.0688085, 38.069691299999995, 38.0696386, 38.0697045, 38.0700208]","Benicia LF/ Benicia State Park","Benicia","nan","nan","Class III","Non-Hazardous Waste","nan","Closed","nan","nan","No dates of operation listed in documentation.","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/278305"
"48-CR-0022","[122.132522, 122.1324601, 122.1374881, 122.13727759999999, 122.1351614, 122.13529609999999, 122.13535949999999, 122.13463030000001, 122.13451940000002]","[38.208488, 38.205237700000005, 38.205228000000005, 38.20755379999999, 38.2079547, 38.2084654, 38.2093, 38.209356, 38.2084032]","Tapia Illegal Landfill","Fairfield","Private","Enrique Tapia","Class I","Hazardous Waste","nan","Closed","nan","nan","No dates of operation listed in documentation.","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/371854"
"48-CR-0023","[122.10203059999999, 122.10166640000001, 122.1014606, 122.10138149999999, 122.1014131, 122.1014527, 122.10169020000001, 122.10195139999999, 122.102181, 122.1022918, 122.10228390000002, 122.1021335]","[38.11257929999999, 38.1124049, 38.112162, 38.111875500000004, 38.111726000000004, 38.111676200000005, 38.1117323, 38.111906700000006, 38.112031200000004, 38.112305299999996, 38.112510799999995, 38.11257929999999]","Flatiron Construction","Benicia","Private","FCI Constructors","nan","nan","nan","Closed","1950.0","1960.0","The dates of operation are estimations based off descriptions of aerial photographs of the site in the site document. In 1952 the aerial photographs shows the landfill being used at the property and by 1968 the landfill area was vacant.","Partially Converted","Commercial","Storage of Construction Materials","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/459784"
"48-CR-0024","[121.8129057, 121.81283219999999, 121.81278689999999, 121.8127842, 121.81278950000001, 121.8128176, 121.81285359999998, 121.812919, 121.8129617, 121.8129951, 121.81302040000001, 121.8129564]","[38.477624299999995, 38.4776065, 38.4772847, 38.477198, 38.4771259, 38.4770945, 38.4770611, 38.477056899999994, 38.4770872, 38.477211499999996, 38.477579399999996, 38.477623200000004]","Dixon Downs/Mistler Farms","Dixon","Private","Dixon Downs/Mistler Farms","Class I","Hazardous Waste","nan","Closed","1970.0","nan","The date of operation listed for the opening year is somewhere in the early 1970's.","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/372559"
"49-AA-0002","[123.3379587, 123.33800659999999, 123.3381343, 123.3382061, 123.3382939, 123.33843759999999, 123.33859720000001, 123.3388446, 123.3390601, 123.3392437, 123.33947509999999, 123.33968259999999, 123.33972250000001, 123.33967460000001, 123.33950700000001, 123.3393235, 123.33921969999999, 123.33910800000001, 123.3389883, 123.33868500000001, 123.33834979999999, 123.33815030000001]","[38.7078578, 38.7073533, 38.7067679, 38.7065499, 38.7065499, 38.706587299999995, 38.706624700000006, 38.706742999999996, 38.7068489, 38.706979600000004, 38.7071104, 38.7071976, 38.7073284, 38.7074343, 38.70759, 38.7076959, 38.7078516, 38.708032200000005, 38.708119399999994, 38.708119399999994, 38.7081007, 38.7080384]","Annapolis Landfill","Annapolis","Public","County Of Sonoma Public Works Dept","Class III","Non-Hazardous Waste","nan","Closed","1970.0","1995.0","nan","Not Converted","nan","nan","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/360082"
"49-AA-0003","[122.9512327, 122.95058940000001, 122.95040559999998, 122.95062, 122.95077320000001, 122.9508344, 122.9510335, 122.9521159, 122.95253970000002, 122.9526469, 122.9528307, 122.952749, 122.9520393, 122.9516105, 122.9515237, 122.95145729999999]","[38.4935971, 38.493473200000004, 38.4929817, 38.4927899, 38.492474200000004, 38.4922784, 38.4921385, 38.491938700000006, 38.4919427, 38.4919747, 38.4920626, 38.4923104, 38.492502200000004, 38.4927979, 38.493097600000006, 38.4934972]","Guerneville Landfill","Guerneville","Public","County Of Sonoma Public Works Dept","Class III","Non-Hazardous Waste","Burn Dump","Closed","1949.0","1982.0","nan","Not Converted","nan","nan","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/252639"
"49-AA-0004","[122.8584576, 122.8573121, 122.8568539, 122.8574267, 122.85696850000001, 122.85696850000001, 122.85657579999999, 122.8568212, 122.85700120000001, 122.85767209999999, 122.8586376, 122.85909579999999, 122.85921029999999, 122.860274, 122.86074850000001, 122.86145220000002, 122.8616976, 122.861354, 122.86141940000002, 122.86076489999999, 122.8602249, 122.85961940000001, 122.85886670000001]","[38.652481, 38.652608799999996, 38.6522638, 38.6518037, 38.6511136, 38.6504874, 38.6500146, 38.649771799999996, 38.649644, 38.6497462, 38.6497462, 38.6497973, 38.65011679999999, 38.6500657, 38.65011679999999, 38.6501552, 38.650423499999995, 38.6518421, 38.65221270000001, 38.6528516, 38.6529666, 38.6529666, 38.6527494]","Healdsburg Disposal Site","Healdburg","Public","County Of Sonoma Public Works Dept","Class III","Non-Hazardous Waste","nan","Closed","1971.0","1989.0","nan","Not Converted","nan","nan","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/358917"
"49-AA-0005","[122.50900349999999, 122.5073307, 122.5066988, 122.5071325, 122.50745459999999, 122.5086937, 122.5092885, 122.5100815, 122.5103665, 122.5103665, 122.5101807, 122.5101311, 122.5099824, 122.5093629]","[38.249488, 38.2467049, 38.2453036, 38.2450506, 38.2451673, 38.245945899999995, 38.246247499999996, 38.2466173, 38.2469482, 38.2474445, 38.247862899999994, 38.2482814, 38.2488458, 38.2493615]","Sonoma Landfill","Sonoma","Public","County Of Sonoma Public Works Dept","nan","nan","nan","Closed","nan","1986.0","No opening date.","Not Converted","nan","nan","Permitted","nan"
"49-AA-0009","[122.6074228, 122.606603, 122.60682659999998, 122.6070377, 122.607398, 122.60767129999999, 122.6079322, 122.6080315, 122.60829240000001, 122.60873959999999, 122.60906259999999, 122.6091992, 122.6090874, 122.60897560000001, 122.60829240000001]","[38.2308179, 38.2302422, 38.2294908, 38.229149299999996, 38.228944399999996, 38.2288566, 38.2288956, 38.2290908, 38.229403000000005, 38.2295396, 38.2295884, 38.2297153, 38.2299495, 38.2302227, 38.2310229]","Casa Grande Site","Petaluma","Public","City of Petaluma Street Department","Class III","Non-Hazardous Waste","nan","Closed","1940.0","1960.0","Started operation sometime in the 1940's; date not exact.","Converted ","Public","Rocky Memorial Park","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/246550"
"49-AA-0012","[122.93431299999999, 122.9343281, 122.9343281, 122.9343105]","[38.390327, 38.390322999999995, 38.3903408, 38.3903349]","Catholic Youth Camp Disposal Site","Occidental","nan","nan","nan","nan","nan","Closed","nan","1980.0","No opening date.","nan","nan","nan","Unpermitted","https://www2.calrecycle.ca.gov/SolidWaste/SiteInspection/Details/63090"
"49-AA-0244","[123.0188288, 123.01796750000001, 123.0172435, 123.01623229999998, 123.0156581, 123.0159078, 123.0156831, 123.0151838, 123.01364840000002, 123.01373570000001, 123.0144473, 123.0156456, 123.01616990000001, 123.0171436, 123.017955, 123.0194405, 123.0200646, 123.0208261, 123.02116310000001, 123.02126299999999, 123.02003970000001, 123.019428]","[38.7763328, 38.776109000000005, 38.7755835, 38.7756905, 38.7749314, 38.7742891, 38.773967999999996, 38.7737831, 38.7733257, 38.7729753, 38.772624900000004, 38.7727125, 38.7728196, 38.7729266, 38.77326729999999, 38.775262299999994, 38.775408299999995, 38.775787799999996, 38.7761771, 38.7764204, 38.776654, 38.7764204]","Cloverdale Wood Waste Landfill #1","Cloverdale","Private","Altus Power","Class III","Non-Hazardous Waste","nan","Closed","1974.0","1978.0","nan","Converted ","Private","Cloverdale Solar 1","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/327640"
